year,january,february,march,april,may,june,july,august,september,october,november,december,annual 
2000,M,M,M,M,M,M,M,M,M,0.05,0.03,0.02,0.03
2001,0.01,0.04,0.02,0.04,0,T,0,0.01,0.01,M,0.08,0.09,0.03
2002,0.02,0.02,M,0.03,0,T,0.02,T,T,T,0.06,0.07,0.02
2003,0,0.02,0.03,0.09,0.01,0,0.07,0.02,0,0.01,0.05,0.18,0.04
2004,0.04,0.17,0.03,0.01,0.03,0.01,T,T,0,0.12,0.06,0.08,0.05
2005,0.09,0.09,0.12,0.04,0.1,0.01,0,0.03,0.01,0.03,0.05,0.45,0.09
2006,0.13,0.11,0.1,0.09,0.02,0,T,0.02,0,0.03,0.05,0.04,0.05
2007,0.04,0.13,0.03,0.03,0.02,0.01,0,0,0.02,0.03,0.03,0.06,0.03
2008,0.15,0.07,0.01,0,0.04,T,T,T,T,0.03,0.06,0.07,0.04
2009,0.07,0.06,0.13,0.01,0.08,0.02,0.01,0,0,0.11,0.02,0.07,0.05
2010,0.08,0.09,0.06,0.08,0.03,0,0,0.03,T,0.19,0.1,0.21,0.07
2011,0.02,0.08,0.21,0.02,0.04,0.08,0,0,0.01,0.04,0.02,T,0.04
2012,0.13,0.04,0.13,0.03,0,0.01,0.01,0.01,0.01,0.03,0.14,0.17,0.06
2013,0.02,0.01,0.04,0.02,0.06,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.02
2014,0.07,0.21,0.07,0.03,0.04,0,0.02,0.05,0.06,0.01,0.03,0.08,0.06
2015,0,0.15,0,0.05,0.06,0.05,0.03,0,0,0.04,0.08,0.14,0.05
2016,0.17,0.02,0.13,0.09,0.07,0,T,0,0,0.24,0.03,0.17,0.08
2017,0.45,0.45,0.07,0.13,0.04,0,0,0.02,0.02,0.02,0.21,0,0.12
2018,0.06,0.01,0.22,0.07,0.06,T,0.05,T,0,0.03,0.09,0.05,0.05
2019,0.11,0.33,0.11,0.04,0.05,0,T,T,0.01,T,0.02,0.14,0.07
2020,0.03,0,0.07,0.05,0.04,0.01,0.01,0,T,0,0.08,0.05,0.03
2021,0.05,0.05,0.04,0.03,0.02,T,0.01,T,0,0.26,0.03,0.22,0.06
2022,0,0.01,0.01,0.06,0.01,M,T,0.01,0.04,0,0.05,0.45,0.06
